grid_id,material_id,medium_id,base_volume_m3,bulk_density_base_kg_m3,target_mass_fraction,target_mass_kg,matrix_mass_kg,property_evidence_state,run_gate
BMG-00038,MAT-AU,MED-CAR,0.001,1300,0.01,0.013,1.287,project_target_plus_reference_density,sample certificate and assay required
BMG-00039,MAT-AU,MED-CAR,0.001,1300,0.05,0.065,1.235,project_target_plus_reference_density,sample certificate and assay required
BMG-00040,MAT-AU,MED-CAR,0.001,1300,0.1,0.13,1.17,project_target_plus_reference_density,sample certificate and assay required
BMG-00041,MAT-AU,MED-CAR,0.001,1300,0.25,0.325,0.975,project_target_plus_reference_density,sample certificate and assay required
BMG-00042,MAT-AU,MED-CAR,0.001,1300,0.5,0.65,0.65,project_target_plus_reference_density,sample certificate and assay required
BMG-00043,MAT-AU,MED-MET,0.001,2300,0.001,0.0023,2.2977,project_target_plus_reference_density,sample certificate and assay required
BMG-00044,MAT-AU,MED-MET,0.001,2300,0.005,0.0115,2.2885,project_target_plus_reference_density,sample certificate and assay required
BMG-00045,MAT-AU,MED-MET,0.001,2300,0.01,0.023,2.277,project_target_plus_reference_density,sample certificate and assay required
BMG-00046,MAT-AU,MED-MET,0.001,2300,0.05,0.115,2.185,project_target_plus_reference_density,sample certificate and assay required
BMG-00047,MAT-AU,MED-MET,0.001,2300,0.1,0.23,2.07,project_target_plus_reference_density,sample certificate and assay required
BMG-00048,MAT-AU,MED-MET,0.001,2300,0.25,0.575,1.725,project_target_plus_reference_density,sample certificate and assay required
BMG-00049,MAT-AU,MED-MET,0.001,2300,0.5,1.15,1.15,project_target_plus_reference_density,sample certificate and assay required
BMG-00050,MAT-AU,MED-ANT,0.001,1500,0.001,0.0015,1.4985,project_target_plus_reference_density,sample certificate and assay required
BMG-00051,MAT-AU,MED-ANT,0.001,1500,0.005,0.0075,1.4925,project_target_plus_reference_density,sample certificate and assay required
BMG-00052,MAT-AU,MED-ANT,0.001,1500,0.01,0.015,1.485,project_target_plus_reference_density,sample certificate and assay required
BMG-00053,MAT-AU,MED-ANT,0.001,1500,0.05,0.075,1.425,project_target_plus_reference_density,sample certificate and assay required
BMG-00054,MAT-AU,MED-ANT,0.001,1500,0.1,0.15,1.35,project_target_plus_reference_density,sample certificate and assay required
BMG-00055,MAT-AU,MED-ANT,0.001,1500,0.25,0.375,1.125,project_target_plus_reference_density,sample certificate and assay required
BMG-00056,MAT-AU,MED-ANT,0.001,1500,0.5,0.75,0.75,project_target_plus_reference_density,sample certificate and assay required
BMG-00057,MAT-AU,MED-GLS,0.001,1550,0.001,0.00155,1.54845,project_target_plus_reference_density,sample certificate and assay required
BMG-00058,MAT-AU,MED-GLS,0.001,1550,0.005,0.00775,1.54225,project_target_plus_reference_density,sample certificate and assay required
BMG-00059,MAT-AU,MED-GLS,0.001,1550,0.01,0.0155,1.5345,project_target_plus_reference_density,sample certificate and assay required
BMG-00060,MAT-AU,MED-GLS,0.001,1550,0.05,0.0775,1.4725,project_target_plus_reference_density,sample certificate and assay required
BMG-00061,MAT-AU,MED-GLS,0.001,1550,0.1,0.155,1.395,project_target_plus_reference_density,sample certificate and assay required
BMG-00062,MAT-AU,MED-GLS,0.001,1550,0.25,0.3875,1.1625,project_target_plus_reference_density,sample certificate and assay required
BMG-00063,MAT-AU,MED-GLS,0.001,1550,0.5,0.775,0.775,project_target_plus_reference_density,sample certificate and assay required
BMG-00064,MAT-AU,MED-ICY,0.001,900,0.001,0.0009,0.8991,project_target_plus_reference_density,sample certificate and assay required
BMG-00065,MAT-AU,MED-ICY,0.001,900,0.005,0.0045,0.8955,project_target_plus_reference_density,sample certificate and assay required
BMG-00066,MAT-AU,MED-ICY,0.001,900,0.01,0.009,0.891,project_target_plus_reference_density,sample certificate and assay required
BMG-00067,MAT-AU,MED-ICY,0.001,900,0.05,0.045,0.855,project_target_plus_reference_density,sample certificate and assay required
BMG-00068,MAT-AU,MED-ICY,0.001,900,0.1,0.09,0.81,project_target_plus_reference_density,sample certificate and assay required
BMG-00069,MAT-AU,MED-ICY,0.001,900,0.25,0.225,0.675,project_target_plus_reference_density,sample certificate and assay required
BMG-00070,MAT-AU,MED-ICY,0.001,900,0.5,0.45,0.45,project_target_plus_reference_density,sample certificate and assay required
BMG-00071,MAT-ND,MED-GRV,0.001,1600,0.001,0.0016,1.5984,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00072,MAT-ND,MED-GRV,0.001,1600,0.005,0.008,1.592,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00073,MAT-ND,MED-GRV,0.001,1600,0.01,0.016,1.584,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00074,MAT-ND,MED-GRV,0.001,1600,0.05,0.08,1.52,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00075,MAT-ND,MED-GRV,0.001,1600,0.1,0.16,1.44,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00076,MAT-ND,MED-GRV,0.001,1600,0.25,0.4,1.2,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00077,MAT-ND,MED-GRV,0.001,1600,0.5,0.8,0.8,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00078,MAT-ND,MED-SND,0.001,1650,0.001,0.00165,1.64835,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00079,MAT-ND,MED-SND,0.001,1650,0.005,0.00825,1.64175,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00080,MAT-ND,MED-SND,0.001,1650,0.01,0.0165,1.6335,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00081,MAT-ND,MED-SND,0.001,1650,0.05,0.0825,1.5675,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00082,MAT-ND,MED-SND,0.001,1650,0.1,0.165,1.485,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00083,MAT-ND,MED-SND,0.001,1650,0.25,0.4125,1.2375,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00084,MAT-ND,MED-SND,0.001,1650,0.5,0.825,0.825,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00085,MAT-ND,MED-CLY,0.001,1800,0.001,0.0018,1.7982,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00086,MAT-ND,MED-CLY,0.001,1800,0.005,0.009,1.791,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00087,MAT-ND,MED-CLY,0.001,1800,0.01,0.018,1.782,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00088,MAT-ND,MED-CLY,0.001,1800,0.05,0.09,1.71,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00089,MAT-ND,MED-CLY,0.001,1800,0.1,0.18,1.62,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00090,MAT-ND,MED-CLY,0.001,1800,0.25,0.45,1.35,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00091,MAT-ND,MED-CLY,0.001,1800,0.5,0.9,0.9,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00092,MAT-ND,MED-BCL,0.001,1900,0.001,0.0019,1.8981,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00093,MAT-ND,MED-BCL,0.001,1900,0.005,0.0095,1.8905,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00094,MAT-ND,MED-BCL,0.001,1900,0.01,0.019,1.881,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00095,MAT-ND,MED-BCL,0.001,1900,0.05,0.095,1.805,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00096,MAT-ND,MED-BCL,0.001,1900,0.1,0.19,1.71,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00097,MAT-ND,MED-BCL,0.001,1900,0.25,0.475,1.425,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00098,MAT-ND,MED-BCL,0.001,1900,0.5,0.95,0.95,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00099,MAT-ND,MED-BAS,0.001,1700,0.001,0.0017,1.6983,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00100,MAT-ND,MED-BAS,0.001,1700,0.005,0.0085,1.6915,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00101,MAT-ND,MED-BAS,0.001,1700,0.01,0.017,1.683,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00102,MAT-ND,MED-BAS,0.001,1700,0.05,0.085,1.615,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00103,MAT-ND,MED-BAS,0.001,1700,0.1,0.17,1.53,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00104,MAT-ND,MED-BAS,0.001,1700,0.25,0.425,1.275,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00105,MAT-ND,MED-BAS,0.001,1700,0.5,0.85,0.85,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00106,MAT-ND,MED-CAR,0.001,1300,0.001,0.0013,1.2987,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00107,MAT-ND,MED-CAR,0.001,1300,0.005,0.0065,1.2935,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00108,MAT-ND,MED-CAR,0.001,1300,0.01,0.013,1.287,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00109,MAT-ND,MED-CAR,0.001,1300,0.05,0.065,1.235,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00110,MAT-ND,MED-CAR,0.001,1300,0.1,0.13,1.17,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00111,MAT-ND,MED-CAR,0.001,1300,0.25,0.325,0.975,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00112,MAT-ND,MED-CAR,0.001,1300,0.5,0.65,0.65,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00113,MAT-ND,MED-MET,0.001,2300,0.001,0.0023,2.2977,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00114,MAT-ND,MED-MET,0.001,2300,0.005,0.0115,2.2885,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00115,MAT-ND,MED-MET,0.001,2300,0.01,0.023,2.277,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00116,MAT-ND,MED-MET,0.001,2300,0.05,0.115,2.185,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00117,MAT-ND,MED-MET,0.001,2300,0.1,0.23,2.07,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00118,MAT-ND,MED-MET,0.001,2300,0.25,0.575,1.725,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00119,MAT-ND,MED-MET,0.001,2300,0.5,1.15,1.15,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00120,MAT-ND,MED-ANT,0.001,1500,0.001,0.0015,1.4985,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00121,MAT-ND,MED-ANT,0.001,1500,0.005,0.0075,1.4925,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00122,MAT-ND,MED-ANT,0.001,1500,0.01,0.015,1.485,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00123,MAT-ND,MED-ANT,0.001,1500,0.05,0.075,1.425,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00124,MAT-ND,MED-ANT,0.001,1500,0.1,0.15,1.35,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00125,MAT-ND,MED-ANT,0.001,1500,0.25,0.375,1.125,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00126,MAT-ND,MED-ANT,0.001,1500,0.5,0.75,0.75,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00127,MAT-ND,MED-GLS,0.001,1550,0.001,0.00155,1.54845,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00128,MAT-ND,MED-GLS,0.001,1550,0.005,0.00775,1.54225,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00129,MAT-ND,MED-GLS,0.001,1550,0.01,0.0155,1.5345,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00130,MAT-ND,MED-GLS,0.001,1550,0.05,0.0775,1.4725,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00131,MAT-ND,MED-GLS,0.001,1550,0.1,0.155,1.395,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00132,MAT-ND,MED-GLS,0.001,1550,0.25,0.3875,1.1625,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00133,MAT-ND,MED-GLS,0.001,1550,0.5,0.775,0.775,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00134,MAT-ND,MED-ICY,0.001,900,0.001,0.0009,0.8991,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00135,MAT-ND,MED-ICY,0.001,900,0.005,0.0045,0.8955,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00136,MAT-ND,MED-ICY,0.001,900,0.01,0.009,0.891,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00137,MAT-ND,MED-ICY,0.001,900,0.05,0.045,0.855,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00138,MAT-ND,MED-ICY,0.001,900,0.1,0.09,0.81,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00139,MAT-ND,MED-ICY,0.001,900,0.25,0.225,0.675,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00140,MAT-ND,MED-ICY,0.001,900,0.5,0.45,0.45,project_target_screening_default,pure-element proxy must not represent NdFeB or ore
BMG-00141,MAT-FE,MED-GRV,0.001,1600,0.001,0.0016,1.5984,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00142,MAT-FE,MED-GRV,0.001,1600,0.005,0.008,1.592,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00143,MAT-FE,MED-GRV,0.001,1600,0.01,0.016,1.584,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00144,MAT-FE,MED-GRV,0.001,1600,0.05,0.08,1.52,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00145,MAT-FE,MED-GRV,0.001,1600,0.1,0.16,1.44,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00146,MAT-FE,MED-GRV,0.001,1600,0.25,0.4,1.2,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00147,MAT-FE,MED-GRV,0.001,1600,0.5,0.8,0.8,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00148,MAT-FE,MED-SND,0.001,1650,0.001,0.00165,1.64835,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00149,MAT-FE,MED-SND,0.001,1650,0.005,0.00825,1.64175,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00150,MAT-FE,MED-SND,0.001,1650,0.01,0.0165,1.6335,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00151,MAT-FE,MED-SND,0.001,1650,0.05,0.0825,1.5675,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00152,MAT-FE,MED-SND,0.001,1650,0.1,0.165,1.485,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00153,MAT-FE,MED-SND,0.001,1650,0.25,0.4125,1.2375,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00154,MAT-FE,MED-SND,0.001,1650,0.5,0.825,0.825,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00155,MAT-FE,MED-CLY,0.001,1800,0.001,0.0018,1.7982,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00156,MAT-FE,MED-CLY,0.001,1800,0.005,0.009,1.791,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00157,MAT-FE,MED-CLY,0.001,1800,0.01,0.018,1.782,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00158,MAT-FE,MED-CLY,0.001,1800,0.05,0.09,1.71,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00159,MAT-FE,MED-CLY,0.001,1800,0.1,0.18,1.62,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00160,MAT-FE,MED-CLY,0.001,1800,0.25,0.45,1.35,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00161,MAT-FE,MED-CLY,0.001,1800,0.5,0.9,0.9,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00162,MAT-FE,MED-BCL,0.001,1900,0.001,0.0019,1.8981,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00163,MAT-FE,MED-BCL,0.001,1900,0.005,0.0095,1.8905,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00164,MAT-FE,MED-BCL,0.001,1900,0.01,0.019,1.881,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00165,MAT-FE,MED-BCL,0.001,1900,0.05,0.095,1.805,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00166,MAT-FE,MED-BCL,0.001,1900,0.1,0.19,1.71,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00167,MAT-FE,MED-BCL,0.001,1900,0.25,0.475,1.425,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00168,MAT-FE,MED-BCL,0.001,1900,0.5,0.95,0.95,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00169,MAT-FE,MED-BAS,0.001,1700,0.001,0.0017,1.6983,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00170,MAT-FE,MED-BAS,0.001,1700,0.005,0.0085,1.6915,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00171,MAT-FE,MED-BAS,0.001,1700,0.01,0.017,1.683,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00172,MAT-FE,MED-BAS,0.001,1700,0.05,0.085,1.615,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00173,MAT-FE,MED-BAS,0.001,1700,0.1,0.17,1.53,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00174,MAT-FE,MED-BAS,0.001,1700,0.25,0.425,1.275,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00175,MAT-FE,MED-BAS,0.001,1700,0.5,0.85,0.85,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00176,MAT-FE,MED-CAR,0.001,1300,0.001,0.0013,1.2987,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00177,MAT-FE,MED-CAR,0.001,1300,0.005,0.0065,1.2935,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00178,MAT-FE,MED-CAR,0.001,1300,0.01,0.013,1.287,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00179,MAT-FE,MED-CAR,0.001,1300,0.05,0.065,1.235,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00180,MAT-FE,MED-CAR,0.001,1300,0.1,0.13,1.17,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00181,MAT-FE,MED-CAR,0.001,1300,0.25,0.325,0.975,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00182,MAT-FE,MED-CAR,0.001,1300,0.5,0.65,0.65,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00183,MAT-FE,MED-MET,0.001,2300,0.001,0.0023,2.2977,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00184,MAT-FE,MED-MET,0.001,2300,0.005,0.0115,2.2885,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00185,MAT-FE,MED-MET,0.001,2300,0.01,0.023,2.277,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00186,MAT-FE,MED-MET,0.001,2300,0.05,0.115,2.185,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00187,MAT-FE,MED-MET,0.001,2300,0.1,0.23,2.07,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00188,MAT-FE,MED-MET,0.001,2300,0.25,0.575,1.725,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00189,MAT-FE,MED-MET,0.001,2300,0.5,1.15,1.15,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00190,MAT-FE,MED-ANT,0.001,1500,0.001,0.0015,1.4985,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00191,MAT-FE,MED-ANT,0.001,1500,0.005,0.0075,1.4925,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00192,MAT-FE,MED-ANT,0.001,1500,0.01,0.015,1.485,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00193,MAT-FE,MED-ANT,0.001,1500,0.05,0.075,1.425,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00194,MAT-FE,MED-ANT,0.001,1500,0.1,0.15,1.35,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00195,MAT-FE,MED-ANT,0.001,1500,0.25,0.375,1.125,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00196,MAT-FE,MED-ANT,0.001,1500,0.5,0.75,0.75,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00197,MAT-FE,MED-GLS,0.001,1550,0.001,0.00155,1.54845,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00198,MAT-FE,MED-GLS,0.001,1550,0.005,0.00775,1.54225,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00199,MAT-FE,MED-GLS,0.001,1550,0.01,0.0155,1.5345,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00200,MAT-FE,MED-GLS,0.001,1550,0.05,0.0775,1.4725,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00201,MAT-FE,MED-GLS,0.001,1550,0.1,0.155,1.395,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00202,MAT-FE,MED-GLS,0.001,1550,0.25,0.3875,1.1625,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00203,MAT-FE,MED-GLS,0.001,1550,0.5,0.775,0.775,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00204,MAT-FE,MED-ICY,0.001,900,0.001,0.0009,0.8991,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
BMG-00205,MAT-FE,MED-ICY,0.001,900,0.005,0.0045,0.8955,project_target_screening_default,mu_r is a placeholder; measure particle hysteresis
